epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,16823.3,1.03762,3.84457,0.34976,0.9516,1.32871,0.84817,0.79266,0.88626,0.66336,0.80092,0.69354,0.73727,0.38745,0.89225,2.98836,0.33988,0.74552,1.21288,0.006139,0.006139,0.006139
41,17245.6,1.03264,3.84964,0.3527,0.94846,1.31719,0.8458,0.79471,0.88668,0.66435,0.80466,0.69458,0.73945,0.39042,0.89015,2.97011,0.33911,0.74324,1.20958,0.00604,0.00604,0.00604
42,17669.8,1.03229,3.80918,0.35069,0.93782,1.31572,0.8503,0.79229,0.88731,0.66556,0.80901,0.69332,0.74116,0.39346,0.88745,2.95455,0.33827,0.74024,1.20608,0.005941,0.005941,0.005941
43,18091.3,1.03048,3.83042,0.35168,0.94377,1.31184,0.85163,0.79188,0.88838,0.66746,0.80995,0.69647,0.74463,0.39689,0.88447,2.93871,0.33733,0.73776,1.20226,0.005842,0.005842,0.005842
44,18514.6,1.02734,3.79094,0.34898,0.93448,1.31297,0.84899,0.79786,0.88912,0.66819,0.81079,0.69758,0.74712,0.39964,0.88187,2.9212,0.33654,0.73499,1.19868,0.005743,0.005743,0.005743
45,18939.8,1.02244,3.73569,0.3473,0.9255,1.30489,0.85132,0.7966,0.88955,0.66935,0.80527,0.70442,0.74936,0.40293,0.8791,2.90454,0.33567,0.73234,1.19528,0.005644,0.005644,0.005644
46,19362.3,1.01492,3.7603,0.34653,0.92612,1.30365,0.85,0.79707,0.8905,0.67003,0.80818,0.70377,0.75061,0.40593,0.87668,2.89057,0.33506,0.72952,1.19237,0.005545,0.005545,0.005545
47,19781.1,1.02262,3.72731,0.34934,0.92586,1.29936,0.84816,0.79865,0.8912,0.6714,0.81081,0.70324,0.75164,0.40875,0.8752,2.87593,0.33433,0.72698,1.19011,0.005446,0.005446,0.005446
48,20206.7,1.01427,3.69973,0.34609,0.91822,1.2976,0.84987,0.7977,0.89148,0.67265,0.81099,0.70623,0.75464,0.4115,0.87332,2.86107,0.33363,0.72399,1.18745,0.005347,0.005347,0.005347
49,20629.1,1.01052,3.66941,0.3453,0.91666,1.29548,0.84873,0.80227,0.89268,0.6738,0.81167,0.70812,0.75576,0.41421,0.8717,2.84556,0.3329,0.72113,1.18496,0.005248,0.005248,0.005248
50,21049.3,1.00786,3.6552,0.34348,0.9141,1.2915,0.84989,0.804,0.89305,0.67512,0.81425,0.71011,0.75803,0.41593,0.86993,2.83108,0.33224,0.71893,1.18223,0.005149,0.005149,0.005149
51,21469.4,1.00981,3.67691,0.34473,0.91749,1.2947,0.85045,0.80215,0.89363,0.6761,0.81918,0.70749,0.7593,0.4188,0.86846,2.81561,0.3315,0.71622,1.17986,0.00505,0.00505,0.00505
52,21889,1.01054,3.68008,0.34495,0.90847,1.29255,0.85446,0.79765,0.89423,0.67766,0.82228,0.70803,0.76096,0.42114,0.8667,2.80084,0.33079,0.71336,1.17741,0.004951,0.004951,0.004951
53,22312.3,1.00512,3.59695,0.34099,0.89983,1.2851,0.85369,0.80008,0.89471,0.67876,0.82166,0.70749,0.76233,0.42455,0.86439,2.78619,0.3301,0.71032,1.17459,0.004852,0.004852,0.004852
54,22731.8,1.00483,3.60107,0.34165,0.89851,1.28752,0.85582,0.80038,0.89509,0.67995,0.82109,0.71001,0.76363,0.42759,0.86254,2.77155,0.32932,0.70755,1.17235,0.004753,0.004753,0.004753
55,23153.9,1.00777,3.62565,0.34089,0.90485,1.28862,0.85085,0.80494,0.89583,0.68057,0.81979,0.7119,0.76481,0.43023,0.86038,2.75873,0.3286,0.70422,1.16959,0.004654,0.004654,0.004654
56,23574.6,1.00024,3.60493,0.34198,0.89851,1.27801,0.85022,0.80699,0.8965,0.68171,0.81912,0.71458,0.76761,0.43379,0.85812,2.74327,0.32779,0.70137,1.16692,0.004555,0.004555,0.004555
57,23989.1,0.99788,3.57174,0.33901,0.89573,1.27876,0.84983,0.80809,0.89729,0.68267,0.81971,0.71694,0.7718,0.43622,0.85651,2.72859,0.32705,0.69872,1.16459,0.004456,0.004456,0.004456
58,24407.3,0.99468,3.55992,0.3389,0.89722,1.2744,0.85616,0.80368,0.8977,0.68365,0.81883,0.71474,0.77055,0.43842,0.85475,2.71612,0.3263,0.69601,1.16213,0.004357,0.004357,0.004357
59,24828.9,0.98649,3.5346,0.33749,0.88673,1.26961,0.85337,0.80683,0.89802,0.68475,0.82446,0.71501,0.77353,0.44105,0.85323,2.70242,0.32552,0.69374,1.16033,0.004258,0.004258,0.004258
60,25242.9,0.98487,3.51281,0.3364,0.87893,1.26707,0.8554,0.80558,0.89826,0.68555,0.82123,0.71599,0.77372,0.44412,0.85169,2.68947,0.32492,0.69119,1.15833,0.004159,0.004159,0.004159
61,25659.2,0.98778,3.4971,0.33637,0.87788,1.2662,0.8568,0.80439,0.89867,0.68669,0.82072,0.7178,0.77424,0.44547,0.84994,2.67777,0.32418,0.68892,1.156,0.00406,0.00406,0.00406
62,26074.3,0.9834,3.48879,0.33618,0.86834,1.26315,0.85756,0.80589,0.89921,0.68756,0.81806,0.72151,0.77581,0.44746,0.84798,2.66495,0.32342,0.68646,1.15367,0.003961,0.003961,0.003961
63,26495,0.98352,3.49497,0.33433,0.87919,1.26473,0.85853,0.8054,0.89949,0.68815,0.82063,0.72166,0.77625,0.44973,0.84633,2.65282,0.32269,0.6842,1.15143,0.003862,0.003862,0.003862
64,26904.5,0.97639,3.47527,0.33417,0.87269,1.26277,0.85942,0.80494,0.89965,0.68851,0.81957,0.72387,0.77842,0.45266,0.84481,2.64008,0.32196,0.68164,1.14936,0.003763,0.003763,0.003763
65,27325.6,0.98139,3.45264,0.33319,0.87346,1.26241,0.86028,0.80549,0.90005,0.68945,0.81821,0.72906,0.78013,0.45489,0.84313,2.62843,0.32127,0.67958,1.14738,0.003664,0.003664,0.003664
66,27746.8,0.97588,3.45931,0.33448,0.86802,1.25759,0.86109,0.8061,0.90061,0.69048,0.82101,0.73064,0.78173,0.45742,0.84142,2.616,0.32054,0.67738,1.14532,0.003565,0.003565,0.003565
67,28172.3,0.97356,3.42755,0.33383,0.86266,1.25576,0.86245,0.80748,0.90115,0.69178,0.82053,0.73057,0.78226,0.45916,0.83989,2.60471,0.31983,0.67574,1.14337,0.003466,0.003466,0.003466
68,28592.6,0.96887,3.40942,0.32921,0.86012,1.25268,0.86088,0.80793,0.90151,0.69228,0.81863,0.73347,0.78378,0.46083,0.83869,2.59414,0.31919,0.67355,1.14181,0.003367,0.003367,0.003367
69,29015.5,0.96931,3.38394,0.33116,0.85447,1.25489,0.86036,0.81014,0.90184,0.69316,0.81678,0.73599,0.78497,0.46369,0.83738,2.58311,0.31854,0.67144,1.14024,0.003268,0.003268,0.003268
70,29436.4,0.96708,3.38711,0.32919,0.85135,1.25041,0.86006,0.81108,0.90252,0.69397,0.81605,0.73646,0.785,0.46542,0.83646,2.57219,0.31788,0.66958,1.13875,0.003169,0.003169,0.003169
71,29859,0.96153,3.37567,0.32987,0.85431,1.24987,0.85951,0.81219,0.90303,0.69447,0.81783,0.73717,0.7881,0.46725,0.83534,2.56162,0.31721,0.66809,1.13747,0.00307,0.00307,0.00307
72,30283.1,0.96383,3.35595,0.32756,0.84888,1.24637,0.86021,0.81297,0.90332,0.69513,0.81483,0.74057,0.78859,0.46914,0.83387,2.5513,0.31651,0.66665,1.13548,0.002971,0.002971,0.002971
73,30705.8,0.95546,3.33853,0.32644,0.83607,1.24111,0.85954,0.81533,0.90401,0.69522,0.81499,0.74213,0.78936,0.47126,0.833,2.54156,0.31577,0.66487,1.13418,0.002872,0.002872,0.002872
74,31131.9,0.96,3.34554,0.32632,0.8458,1.24681,0.85851,0.81596,0.90448,0.69538,0.81554,0.7448,0.79166,0.47274,0.83228,2.53139,0.31508,0.66319,1.13282,0.002773,0.002773,0.002773
75,31556.2,0.95323,3.29006,0.32345,0.83379,1.24021,0.85946,0.81533,0.90484,0.69635,0.82071,0.73898,0.7917,0.47481,0.83145,2.52187,0.31438,0.66165,1.13153,0.002674,0.002674,0.002674
76,31980,0.94825,3.26415,0.32274,0.8286,1.23681,0.86026,0.81518,0.90526,0.69736,0.82093,0.74071,0.7925,0.47692,0.83008,2.51218,0.31365,0.65997,1.12999,0.002575,0.002575,0.002575
77,32398.3,0.9494,3.27975,0.32079,0.82534,1.23488,0.85925,0.81659,0.90605,0.69777,0.82114,0.74446,0.79508,0.47857,0.82901,2.50332,0.31289,0.65796,1.12882,0.002476,0.002476,0.002476
78,32820.6,0.944,3.24133,0.32133,0.82334,1.23305,0.86026,0.81799,0.90683,0.69833,0.82265,0.74528,0.79552,0.48021,0.82816,2.49443,0.31216,0.65647,1.12763,0.002377,0.002377,0.002377
79,33243.7,0.94422,3.25961,0.32072,0.82687,1.23362,0.86125,0.81696,0.90723,0.69883,0.82272,0.74374,0.79507,0.48211,0.82724,2.48596,0.31147,0.65509,1.12655,0.002278,0.002278,0.002278
80,33668.3,0.9479,3.22497,0.32194,0.82614,1.23048,0.85997,0.8188,0.90709,0.69934,0.82394,0.74339,0.79633,0.48377,0.82626,2.47935,0.31089,0.65375,1.12527,0.002179,0.002179,0.002179
81,34093.6,0.94132,3.19291,0.318,0.81637,1.22922,0.86065,0.81832,0.90771,0.69998,0.82661,0.74575,0.79785,0.48565,0.82514,2.4724,0.31027,0.652,1.12369,0.00208,0.00208,0.00208
82,34513,0.93071,3.15072,0.31822,0.80528,1.21771,0.86242,0.81581,0.90817,0.7007,0.83173,0.74213,0.79811,0.48717,0.82367,2.46319,0.3095,0.64979,1.12205,0.001981,0.001981,0.001981
83,34932.6,0.93496,3.13758,0.31666,0.80867,1.22381,0.86426,0.81423,0.90833,0.70127,0.83436,0.7415,0.79839,0.48889,0.82311,2.45323,0.30875,0.64797,1.1209,0.001882,0.001882,0.001882
84,35354.9,0.93041,3.15544,0.31685,0.80482,1.21801,0.87,0.81231,0.90887,0.70173,0.83636,0.74244,0.80031,0.49054,0.82224,2.44523,0.30812,0.64657,1.11979,0.001783,0.001783,0.001783
85,35775.6,0.91976,3.09357,0.31437,0.79232,1.21202,0.87038,0.81124,0.90899,0.70196,0.83267,0.74581,0.80089,0.49208,0.8213,2.43689,0.30747,0.64531,1.1185,0.001684,0.001684,0.001684
86,36197.3,0.92203,3.06827,0.31403,0.79136,1.21449,0.87399,0.80584,0.90917,0.70208,0.83561,0.7448,0.80143,0.49304,0.82031,2.4302,0.30682,0.64411,1.11734,0.001585,0.001585,0.001585
